game_id,season,week,game_type,gameday,home_team,away_team,home_rest,away_rest,result,home_roll_points_for,home_roll_points_against,home_roll_total_yards,home_roll_turnover_margin,home_roll_sack_margin,home_roll_third_down_pct,home_roll_top_seconds,away_roll_points_for,away_roll_points_against,away_roll_total_yards,away_roll_turnover_margin,away_roll_sack_margin,away_roll_third_down_pct,away_roll_top_seconds,home_win
2010_04_SF_ATL,2010,4,REG,2010-10-03,ATL,SF,7,7,2.0,25.666666666666668,15.333333333333334,395.3333333333333,1.6666666666666667,0.6666666666666666,0.4482456140350877,2310.6666666666665,12.666666666666666,29.0,322.0,-1.3333333333333333,-1.3333333333333333,0.2553606237816763,1725.0,1
2010_04_NYJ_BUF,2010,4,REG,2010-10-03,BUF,NYJ,7,7,-24.0,15.666666666666666,29.0,265.3333333333333,-1.0,-1.3333333333333333,0.334054834054834,1606.6666666666667,22.666666666666668,15.666666666666666,316.0,2.0,0.0,0.337995337995338,1624.0,0
2010_04_CIN_CLE,2010,4,REG,2010-10-03,CLE,CIN,7,7,3.0,15.0,19.0,318.6666666666667,-0.3333333333333333,0.3333333333333333,0.2927170868347338,1733.3333333333333,19.666666666666668,18.33333333333333,336.0,1.3333333333333333,-0.3333333333333333,0.3068783068783068,2049.333333333333,1
2010_04_DET_GB,2010,4,REG,2010-10-03,GB,DET,6,7,2.0,26.0,15.666666666666666,348.3333333333333,0.0,3.0,0.4155982905982906,2085.6666666666665,18.666666666666668,26.0,313.6666666666667,0.0,2.0,0.3055555555555555,1684.3333333333333,1
2010_04_CAR_NO,2010,4,REG,2010-10-03,NO,CAR,7,7,2.0,21.0,19.33333333333333,342.6666666666667,1.0,-0.6666666666666666,0.375,1872.6666666666667,10.666666666666666,23.666666666666668,283.0,-1.6666666666666667,-2.333333333333333,0.3078703703703703,1563.3333333333333,1
2010_04_BAL_PIT,2010,4,REG,2010-10-03,PIT,BAL,7,7,-3.0,24.0,11.0,305.0,2.0,1.0,0.2787037037037037,1872.6666666666667,14.666666666666666,13.666666666666666,308.3333333333333,-2.0,0.6666666666666666,0.3688888888888889,1888.0,0
2010_04_SEA_STL,2010,4,REG,2010-10-03,LA,SEA,7,7,17.0,19.0,16.333333333333332,316.0,1.0,-0.3333333333333333,0.3276515151515151,1817.3333333333333,24.0,19.0,292.3333333333333,0.3333333333333333,0.6666666666666666,0.4843434343434343,1474.6666666666667,1
2010_04_DEN_TEN,2010,4,REG,2010-10-03,TEN,DEN,7,7,-6.0,26.0,14.0,299.6666666666667,-0.3333333333333333,1.0,0.3485838779956426,1715.3333333333333,20.33333333333333,21.666666666666668,426.3333333333333,0.3333333333333333,-1.0,0.3932109557109557,1956.3333333333333,0
2010_04_IND_JAX,2010,4,REG,2010-10-03,JAX,IND,7,7,3.0,13.333333333333334,27.666666666666668,301.0,-0.6666666666666666,-0.6666666666666666,0.3354497354497354,1855.6666666666667,29.666666666666668,20.33333333333333,419.0,1.3333333333333333,1.3333333333333333,0.3247863247863248,1887.0,1
2010_04_HOU_OAK,2010,4,REG,2010-10-03,LV,HOU,7,7,-7.0,17.333333333333332,25.33333333333333,375.3333333333333,0.0,-0.6666666666666666,0.2468253968253968,1974.3333333333333,25.666666666666668,26.0,428.0,-1.3333333333333333,-2.0,0.4549663299663299,1967.3333333333333,0
2010_04_WAS_PHI,2010,4,REG,2010-10-03,PHI,WAS,7,7,-5.0,27.666666666666668,20.666666666666668,397.3333333333333,1.3333333333333333,-1.0,0.3714285714285714,1729.3333333333333,18.666666666666668,22.33333333333333,352.0,0.6666666666666666,0.6666666666666666,0.1499999999999999,1658.0,0
2010_04_ARI_SD,2010,4,REG,2010-10-03,LAC,ARI,7,7,31.0,24.0,20.33333333333333,478.6666666666667,-0.3333333333333333,-0.3333333333333333,0.3460038986354776,2062.6666666666665,16.0,25.666666666666668,310.6666666666667,-0.6666666666666666,0.0,0.2472527472527472,1499.3333333333333,1
2010_04_CHI_NYG,2010,4,REG,2010-10-03,NYG,CHI,7,6,14.0,18.33333333333333,28.33333333333333,385.0,-1.3333333333333333,-0.3333333333333333,0.3239468864468864,1823.6666666666667,22.0,17.0,362.0,1.0,-2.0,0.252020202020202,1704.3333333333333,1
2010_04_NE_MIA,2010,4,REG,2010-10-04,MIA,NE,8,8,-27.0,17.333333333333332,17.0,331.6666666666667,0.3333333333333333,-0.3333333333333333,0.4552188552188552,1877.6666666666667,30.0,27.33333333333333,376.0,0.0,1.0,0.521978021978022,1780.0,0
2010_05_DEN_BAL,2010,5,REG,2010-10-10,BAL,DEN,7,7,14.0,15.25,13.75,312.75,-1.75,0.75,0.3535897435897436,1873.75,21.75,21.25,409.75,0.5,-1.75,0.3417832167832167,1996.75,1
2010_05_JAX_BUF,2010,5,REG,2010-10-10,BUF,JAX,7,7,-10.0,15.25,31.25,259.5,-1.0,-1.75,0.2505411255411255,1547.25,17.75,27.75,310.0,0.0,-0.25,0.4123015873015873,1838.25,0
2010_05_CHI_CAR,2010,5,REG,2010-10-10,CAR,CHI,7,7,-17.0,11.5,21.75,278.25,-0.75,-2.0,0.314236111111111,1497.0,17.25,17.0,314.75,0.75,-3.5,0.1890151515151515,1677.0,0
2010_05_TB_CIN,2010,5,REG,2010-10-10,CIN,TB,7,14,-3.0,19.75,19.5,361.5,0.75,-1.0,0.3194444444444444,1975.5,16.666666666666668,19.666666666666668,300.0,1.3333333333333333,-1.0,0.388235294117647,2029.0,0
2010_05_ATL_CLE,2010,5,REG,2010-10-10,CLE,ATL,7,7,-10.0,17.0,19.25,314.0,0.0,1.0,0.3132878151260504,1761.5,23.25,15.0,389.25,1.5,0.0,0.4195175438596491,2172.75,0
2010_05_STL_DET,2010,5,REG,2010-10-10,DET,LA,7,7,38.0,20.5,26.5,348.75,0.25,1.25,0.3607456140350877,1827.5,19.25,13.0,331.25,1.0,-0.25,0.3429608585858585,1855.5,1
2010_05_NYG_HOU,2010,5,REG,2010-10-10,HOU,NYG,7,7,-24.0,27.0,25.5,431.25,-0.25,-0.5,0.4412247474747475,1917.75,18.0,22.0,384.75,-1.0,1.75,0.2965315934065933,1869.0,0
2010_05_KC_IND,2010,5,REG,2010-10-10,IND,KC,7,14,10.0,29.25,23.0,416.75,0.5,0.75,0.4185897435897435,1868.75,22.666666666666668,12.666666666666666,325.3333333333333,0.3333333333333333,1.6666666666666667,0.2786690433749257,1791.6666666666667,1
2010_05_GB_WAS,2010,5,REG,2010-10-10,WAS,GB,7,7,3.0,18.25,19.75,337.5,0.75,0.5,0.2017857142857142,1649.25,26.5,18.25,329.5,0.25,2.5,0.418841575091575,1900.0,1
2010_05_NO_ARI,2010,5,REG,2010-10-10,ARI,NO,7,7,10.0,14.5,29.5,281.25,-1.0,-2.0,0.2687728937728937,1500.0,19.75,18.0,356.0,0.5,-0.25,0.4241071428571428,1980.0,1
2010_05_TEN_DAL,2010,5,REG,2010-10-10,DAL,TEN,14,7,-7.0,18.0,17.666666666666668,393.3333333333333,-0.3333333333333333,1.6666666666666667,0.3629964806435394,2011.3333333333333,24.5,17.0,298.25,-0.25,1.75,0.3150093370681605,1673.25,0
2010_05_SD_OAK,2010,5,REG,2010-10-10,LV,LAC,7,7,8.0,19.0,26.75,380.5,-0.75,-1.5,0.2812728937728938,1938.5,28.25,17.75,466.25,0.25,1.75,0.3731392876129717,2071.5,1
2010_05_PHI_SF,2010,5,REG,2010-10-10,SF,PHI,7,7,-3.0,13.0,25.75,308.75,-1.0,-0.5,0.2986633249791144,1754.0,23.75,19.75,388.0,0.75,-0.75,0.3619047619047619,1791.25,0
2010_05_MIN_NYJ,2010,5,REG,2010-10-11,NYJ,MIN,8,15,9.0,26.5,15.25,347.75,2.0,0.75,0.3701631701631701,1825.25,14.333333333333334,12.666666666666666,342.3333333333333,-1.0,-0.6666666666666666,0.2911953242835596,1924.6666666666667,1
2010_06_SEA_CHI,2010,6,REG,2010-10-17,CHI,SEA,7,14,-3.0,18.4,14.8,305.6,0.4,-2.4,0.1887121212121212,1705.4,18.75,19.25,290.0,0.0,0.5,0.4299242424242424,1513.5,0
2010_06_MIA_GB,2010,6,REG,2010-10-17,GB,MIA,7,13,-3.0,23.8,17.8,353.6,0.0,2.2,0.3636446886446886,1912.0,16.5,23.0,351.75,-0.75,0.0,0.4976641414141414,1892.5,0
2010_06_KC_HOU,2010,6,REG,2010-10-17,HOU,KC,7,7,4.0,23.6,27.2,389.0,-0.2,-1.0,0.3863131313131313,1788.0,19.25,14.25,311.25,0.25,1.25,0.231729055258467,1727.5,1
2010_06_BAL_NE,2010,6,REG,2010-10-17,NE,BAL,13,7,3.0,32.75,24.0,350.0,1.0,0.5,0.4956501831501831,1750.75,18.4,14.4,336.0,-1.2,0.6,0.3828717948717949,1934.4,1
2010_06_DET_NYG,2010,6,REG,2010-10-17,NYG,DET,7,7,8.0,21.2,19.6,390.6,-0.8,2.0,0.2960488041370394,1961.4,25.2,22.4,344.4,0.8,1.0,0.3685964912280702,1782.8,1
2010_06_ATL_PHI,2010,6,REG,2010-10-17,PHI,ATL,7,7,14.0,24.4,20.6,386.0,1.4,-1.0,0.3395238095238095,1802.6,22.6,14.0,381.8,1.6,0.2,0.4156140350877192,2099.4,1
2010_06_CLE_PIT,2010,6,REG,2010-10-17,PIT,CLE,14,7,18.0,21.5,12.5,285.0,1.75,0.5,0.2804563492063492,1846.75,15.6,19.4,310.0,-0.4,0.6,0.3284080298786181,1768.0,1
