model,accuracy,precision,recall,f1,roc_auc
naive_home_always_wins,0.5641476274165202,0.5641476274165202,1.0,0.7213483146067415,
logistic_regression,0.6133567662565905,0.629156010230179,0.7663551401869159,0.6910112359550562,0.6454125213546378
decision_tree,0.5834797891036907,0.6186440677966102,0.6822429906542056,0.6488888888888888,0.587434679931665
random_forest,0.6045694200351494,0.6276595744680851,0.735202492211838,0.6771879483500718,0.6171615917998191
